"CDMunicipio","NRUORG"
"2209658","037000000"
"2209708","037000000"
"2209757","037000000"
"2209807","037000000"
"2209856","037000000"
"2209872","037000000"
"2209906","037000000"
"2209955","037000000"
"2209971","037000000"
"2210003","037000000"
"2210052","037901000"
"2210102","037000000"
"2210201","037000000"
"2210300","037000000"
"2210359","037000000"
"2210375","037000000"
"2210383","037000000"
"2210391","037000000"
"2210409","037000000"
"2210508","037000000"
"2210607","037000000"
"2210623","037000000"
"2210631","037000000"
"2210656","037000000"
"2210706","037000000"
"2210805","037000000"
"2210904","037000000"
"2210938","037000000"
"2210953","037000000"
"2210979","037000000"
"2211001","037000000"
"2211100","037000000"
"2211209","037000000"
"2211308","037000000"
"2211357","037000000"
"2211407","037000000"
"2211506","037000000"
"2211605","037000000"
"2211704","037000000"
"2300000",""
"2300101","030901000"
"2300150","030902000"
"2300200","030903000"
"2300309","030901000"
"2300408","030901000"
"2300507","030903000"
"2300606","030901000"
"2300705","030902000"
"2300754","030903000"
"2300804","030901000"
"2300903","030902000"
"2301000","030000000"
"2301109","030902000"
"2301208","030902000"
"2301257","030903000"
"2301307","030901000"
"2301406","030902000"
"2301505","030901000"
"2301604","030901000"
"2301703","030901000"
"2301802","030901000"
"2301851","030902000"
"2301901","030901000"
"2301950","030902000"
"2302008","030901000"
"2302057","030903000"
"2302107","030902000"
"2302206","030000000"
"2302305","030903000"
"2302404","030903000"
"2302503","030901000"
"2302602","030903000"
"2302701","030901000"
"2302800","030902000"
"2302909","030902000"
"2303006","030902000"
"2303105","030903000"
"2303204","030901000"
"2303303","030901000"
"2303402","030903000"
"2303501","030000000"
"2303600","030901000"
"2303659","030903000"
"2303709","030000000"
"2303808","030901000"
"2303907","030903000"
"2303931","030902000"
"2303956","030000000"
"2304004","030903000"
"2304103","030903000"
"2304202","030901000"
"2304236","030903000"
"2304251","030903000"
"2304269","030901000"
"2304277","030901000"
"2304285","030000000"
"2304301","030901000"
"2304350","030903000"
"2304400","030000000"
"2304459","030902000"
"2304509","030903000"
"2304608","030902000"
"2304657","030903000"
"2304707","030903000"
"2304806","030901000"
"2304905","030903000"
"2304954","030902000"
"2305001","030903000"
"2305100","030902000"
"2305209","030903000"
"2305233","030000000"
"2305266","030902000"
"2305308","030903000"
"2305332","030000000"
"2305357","030902000"
"2305407","030901000"
"2305506","030901000"
"2305605","030903000"
"2305654","030903000"
"2305704","030901000"
"2305803","030903000"
"2305902","030903000"
"2306009","030902000"
"2306108","030903000"
"2306207","030902000"
"2306256","030000000"
"2306306","030903000"
"2306405","030903000"
"2306504","030902000"
"2306553","030903000"
"2306603","030902000"
"2306702","030902000"
"2306801","030902000"
"2306900","030901000"
"2307007","030902000"
"2307106","030901000"
"2307205","030901000"
"2307254","030903000"
"2307304","030901000"
"2307403","030901000"
"2307502","030901000"
"2307601","030902000"
"2307635","030902000"
"2307650","030902000"
"2307700","030902000"
"2307809","030903000"
"2307908","030903000"
"2308005","030903000"
"2308104","030901000"
"2308203","030903000"
"2308302","030901000"
"2308351","030902000"
"2308377","030903000"
"2308401","030901000"
"2308500","030901000"
"2308609","030903000"
"2308708","030902000"
"2308807","030903000"
"2308906","030903000"
"2309003","030903000"
"2309102","030902000"
"2309201","030901000"
"2309300","030903000"
"2309409","030903000"
"2309458","030902000"
"2309508","030901000"
"2309607","030000000"
"2309706","030902000"
"2309805","030902000"
"2309904","030903000"
"2310001","030902000"
"2310100","030902000"
"2310209","030000000"
"2310258","030000000"
"2310308","030901000"
"2310407","030902000"
"2310506","030902000"
"2310605","030901000"
"2310704","030902000"
"2310803","030901000"
"2310852","030000000"
"2310902","030901000"
"2310951","030903000"
"2311009","030903000"
"2311108","030901000"
"2311207","030901000"
"2311231","030902000"
"2311264","030901000"
"2311306","030902000"
"2311355","030901000"
"2311405","030902000"
"2311504","030902000"
"2311603","030902000"
"2311702","030903000"
"2311801","030902000"
"2311900","030901000"
"2311959","030901000"
"2312007","030903000"
"2312106","030901000"
"2312205","030903000"
"2312304","030903000"
"2312403","030000000"
"2312502","030902000"
"2312601","030000000"
"2312700","030902000"
"2312809","030903000"
"2312908","030903000"
"2313005","030902000"
"2313104","030902000"
"2313203","030903000"
"2313252","030901000"
"2313302","030901000"
"2313351","030902000"
"2313401","030903000"
"2313500","030903000"
"2313559","030903000"
"2313609","030903000"
"2313708","030901000"
"2313757","030000000"
"2313807","030903000"
"2313906","030903000"
"2313955","030903000"
"2314003","030901000"
"2314102","030903000"
"2400000",""
"2400109","034000000"
"2400208","034901000"
"2400307","034000000"
"2400406","034901000"
"2400505","034901000"
"2400604","034901000"
"2400703","034901000"
