"CDSubclasse","CDSecao"
"7719502","N"
"7719599","N"
"7721700","N"
"7722500","N"
"7723300","N"
"7729201","N"
"7729202","N"
"7729203","N"
"7729299","N"
"7731400","N"
"7732201","N"
"7732202","N"
"7733100","N"
"7739001","N"
"7739002","N"
"7739003","N"
"7739099","N"
"7740300","N"
"7810800","N"
"7820500","N"
"7830200","N"
"7911200","N"
"7912100","N"
"7990200","N"
"8011101","N"
"8011102","N"
"8012900","N"
"8020000","N"
"8020001","N"
"8020002","N"
"8030700","N"
"8111700","N"
"8112500","N"
"8121400","N"
"8122200","N"
"8129000","N"
"8130300","N"
"8211300","N"
"8219901","N"
"8219999","N"
"8220200","N"
"8230001","N"
"8230002","N"
"8291100","N"
"8292000","N"
"8299701","N"
"8299702","N"
"8299703","N"
"8299704","N"
"8299705","N"
"8299706","N"
"8299707","N"
"8299799","N"
"8411600","O"
"8412400","O"
"8413200","O"
"8421300","O"
"8422100","O"
"8423000","O"
"8424800","O"
"8425600","O"
"8430200","O"
"8511200","P"
"8512100","P"
"8513900","P"
"8520100","P"
"8531700","P"
"8532500","P"
"8533300","P"
"8541400","P"
"8542200","P"
"8550301","P"
"8550302","P"
"8591100","P"
"8592901","P"
"8592902","P"
"8592903","P"
"8592999","P"
"8593700","P"
"8599601","P"
"8599602","P"
"8599603","P"
"8599604","P"
"8599605","P"
"8599699","P"
"8610101","Q"
"8610102","Q"
"8621601","Q"
"8621602","Q"
"8622400","Q"
"8630501","Q"
"8630502","Q"
"8630503","Q"
"8630504","Q"
"8630505","Q"
"8630506","Q"
"8630507","Q"
"8630599","Q"
"8640201","Q"
"8640202","Q"
"8640203","Q"
"8640204","Q"
"8640205","Q"
"8640206","Q"
"8640207","Q"
"8640208","Q"
"8640209","Q"
"8640210","Q"
"8640211","Q"
"8640212","Q"
"8640213","Q"
"8640214","Q"
"8640299","Q"
"8650001","Q"
"8650002","Q"
"8650003","Q"
"8650004","Q"
"8650005","Q"
"8650006","Q"
"8650007","Q"
"8650099","Q"
"8660700","Q"
"8690901","Q"
"8690902","Q"
"8690903","Q"
"8690904","Q"
"8690999","Q"
"8711501","Q"
"8711502","Q"
"8711503","Q"
"8711504","Q"
"8711505","Q"
"8712300","Q"
"8720401","Q"
"8720499","Q"
"8730101","Q"
"8730102","Q"
"8730199","Q"
"8800600","Q"
"9001901","R"
"9001902","R"
"9001903","R"
"9001904","R"
"9001905","R"
"9001906","R"
"9001999","R"
"9002701","R"
"9002702","R"
"9003500","R"
"9101500","R"
"9102301","R"
"9102302","R"
"9103100","R"
"9200301","R"
"9200302","R"
"9200399","R"
"9311500","R"
"9312300","R"
"9313100","R"
"9319101","R"
"9319199","R"
"9321200","R"
"9329801","R"
"9329802","R"
"9329803","R"
"9329804","R"
"9329899","R"
"9411100","S"
"9412000","S"
"9412001","S"
"9412099","S"
"9420100","S"
"9430800","S"
"9491000","S"
"9492800","S"
"9493600","S"
"9499500","S"
"9511800","S"
"9512600","S"
"9521500","S"
"9529101","S"
"9529102","S"
"9529103","S"
"9529104","S"
"9529105","S"
"9529106","S"
"9529199","S"
"9601701","S"
"9601702","S"
"9601703","S"
"9602501","S"
"9602502","S"
"9603301","S"
"9603302","S"
"9603303","S"
"9603304","S"
"9603305","S"
"9603399","S"
"9609202","S"
"9609203","S"
"9609204","S"
"9609205","S"
"9609206","S"
"9609207","S"
"9609208","S"
"9609299","S"
"9700500","T"
"9900800","U"
